Word,Start Timecode,End Timecode,Speaker
People,00:03:08.70,00:03:09.09,""
despise,00:03:09.09,00:03:09.75,""
social,00:03:09.75,00:03:10.23,""
ruling,00:03:10.23,00:03:10.59,""
as,00:03:10.59,00:03:10.74,""
much,00:03:10.74,00:03:10.95,""
as,00:03:10.95,00:03:11.07,""
governmental,00:03:11.07,00:03:11.79,""
power.,00:03:11.79,00:03:12.45,""
Their,00:03:12.60,00:03:13.14,""
staunch,00:03:13.14,00:03:13.53,""
aversion,00:03:13.56,00:03:14.01,""
to,00:03:14.01,00:03:14.13,""
social,00:03:14.13,00:03:14.52,""
class,00:03:14.52,00:03:14.91,""
barriers,00:03:14.91,00:03:15.42,""
has,00:03:15.42,00:03:15.75,""
led,00:03:15.75,00:03:15.96,""
to,00:03:15.96,00:03:16.08,""
a,00:03:16.08,00:03:16.17,""
very,00:03:16.17,00:03:16.53,""
egalitarian,00:03:16.53,00:03:17.46,""
culture,00:03:17.46,00:03:18.15,""
and,00:03:18.15,00:03:18.45,""
a,00:03:18.45,00:03:18.54,""
culture,00:03:18.54,00:03:18.87,""
that,00:03:18.87,00:03:19.02,""
greatly,00:03:19.02,00:03:19.56,""
values,00:03:19.56,00:03:20.04,""
individual,00:03:20.04,00:03:20.73,""
autonomy,00:03:20.73,00:03:21.33,""
and,00:03:21.33,00:03:21.54,""
freedom.,00:03:21.54,00:03:22.32,""
"This,",00:03:22.62,00:03:23.40,""
ironically,00:03:23.40,00:03:24.03,""
to,00:03:24.03,00:03:24.18,""
"outsiders,",00:03:24.18,00:03:24.87,""
makes,00:03:24.87,00:03:25.35,""
Brevin,00:03:25.35,00:03:25.74,""
both,00:03:25.74,00:03:25.98,""
a,00:03:25.98,00:03:26.07,""
very,00:03:26.07,00:03:26.28,""
controlling,00:03:26.28,00:03:26.91,""
people,00:03:26.91,00:03:27.30,""
in,00:03:27.30,00:03:27.39,""
their,00:03:27.42,00:03:27.63,""
endeavor,00:03:27.63,00:03:27.99,""
to,00:03:27.99,00:03:28.17,""
ensure,00:03:28.17,00:03:28.65,""
freedom,00:03:28.65,00:03:29.40,""
with,00:03:29.67,00:03:30.15,""
their,00:03:30.15,00:03:30.33,""
freedom,00:03:30.33,00:03:30.75,""
to,00:03:30.75,00:03:30.87,""
wander,00:03:30.87,00:03:31.38,""
and,00:03:31.38,00:03:31.56,""
explore,00:03:31.56,00:03:31.98,""
the,00:03:32.01,00:03:32.13,""
world,00:03:32.13,00:03:32.79,""
expressive,00:03:32.79,00:03:33.51,""
art,00:03:33.51,00:03:33.81,""
and,00:03:33.81,00:03:33.99,""
clothes.,00:03:33.99,00:03:34.67,""
Brevin,00:03:34.68,00:03:35.28,""
culture,00:03:35.28,00:03:35.70,""
is,00:03:35.70,00:03:35.82,""
very,00:03:35.82,00:03:36.09,""
strict,00:03:36.09,00:03:36.48,""
on,00:03:36.48,00:03:36.66,""
their,00:03:36.66,00:03:36.87,""
people,00:03:36.87,00:03:37.32,""
staying,00:03:37.32,00:03:37.68,""
within,00:03:37.68,00:03:38.04,""
this,00:03:38.04,00:03:38.31,""
defined,00:03:38.31,00:03:39.06,""
freedom.,00:03:39.06,00:03:39.92,""
Those,00:03:39.93,00:03:40.44,""
who,00:03:40.44,00:03:40.59,""
step,00:03:40.59,00:03:40.83,""
outside,00:03:40.83,00:03:41.19,""
of,00:03:41.19,00:03:41.31,""
these,00:03:41.31,00:03:41.49,""
traditions,00:03:41.49,00:03:42.03,""
are,00:03:42.03,00:03:42.12,""
reprimanded,00:03:42.12,00:03:42.81,""
in,00:03:42.81,00:03:42.96,""
various,00:03:42.96,00:03:43.38,""
fashions,00:03:43.38,00:03:44.01,""
with,00:03:44.01,00:03:44.34,""
the,00:03:44.34,00:03:44.43,""
highest,00:03:44.43,00:03:44.82,""
form,00:03:44.82,00:03:45.09,""
of,00:03:45.09,00:03:45.21,""
punishment,00:03:45.21,00:03:45.72,""
being,00:03:45.72,00:03:45.99,""
"felled,",00:03:46.02,00:03:46.62,""
a,00:03:46.65,00:03:46.89,""
form,00:03:46.89,00:03:47.13,""
of,00:03:47.13,00:03:47.28,""
exile,00:03:47.28,00:03:47.79,""
dictated,00:03:47.79,00:03:48.30,""
from,00:03:48.30,00:03:48.51,""
the,00:03:48.51,00:03:48.60,""
verdant,00:03:48.60,00:03:49.11,""
council,00:03:49.11,00:03:49.56,""
themselves.,00:03:49.56,00:03:50.49,""
Brevin,00:03:50.73,00:03:51.45,""
are,00:03:51.45,00:03:51.69,""
a,00:03:51.69,00:03:51.78,""
strange,00:03:51.78,00:03:52.20,""
concoction,00:03:52.20,00:03:52.77,""
of,00:03:52.77,00:03:52.86,""
equal,00:03:52.86,00:03:53.19,""
"parts,",00:03:53.19,00:03:53.55,""
mistrusting,00:03:53.55,00:03:54.21,""
and,00:03:54.21,00:03:54.36,""
prone,00:03:54.36,00:03:54.66,""
to,00:03:54.66,00:03:54.78,""
xenophobia,00:03:54.78,00:03:55.65,""
and,00:03:55.65,00:03:55.98,""
yet,00:03:55.98,00:03:56.19,""
welcoming,00:03:56.22,00:03:57.09,""
their,00:03:57.12,00:03:57.60,""
history,00:03:57.60,00:03:57.96,""
of,00:03:57.96,00:03:58.11,""
unwilling,00:03:58.11,00:03:58.53,""
defensive,00:03:58.53,00:03:59.07,""
conflicts,00:03:59.07,00:03:59.55,""
has,00:03:59.55,00:03:59.67,""
led,00:03:59.67,00:03:59.85,""
to,00:03:59.85,00:03:59.94,""
a,00:03:59.94,00:04:00.03,""
great,00:04:00.03,00:04:00.36,""
distrust,00:04:00.36,00:04:01.02,""
of,00:04:01.05,00:04:01.20,""
"foreigners,",00:04:01.20,00:04:01.95,""
especially,00:04:01.98,00:04:02.67,""
their,00:04:02.67,00:04:02.88,""
neighbors.,00:04:02.88,00:04:03.63,""
Yet,00:04:03.63,00:04:03.99,""
they,00:04:03.99,00:04:04.14,""
yearn,00:04:04.17,00:04:04.44,""
to,00:04:04.44,00:04:04.59,""
engage,00:04:04.59,00:04:05.01,""
with,00:04:05.01,00:04:05.16,""
them,00:04:05.16,00:04:05.46,""
in,00:04:05.46,00:04:05.70,""
good,00:04:05.70,00:04:06.00,""
settings.,00:04:06.00,00:04:06.86,""
They're,00:04:06.87,00:04:07.38,""
warm,00:04:07.38,00:04:07.74,""
and,00:04:07.74,00:04:07.95,""
friendly.,00:04:07.95,00:04:08.40,""
Nature,00:04:08.40,00:04:08.85,""
seeks,00:04:08.85,00:04:09.15,""
to,00:04:09.15,00:04:09.24,""
engage,00:04:09.24,00:04:09.66,""
with,00:04:09.66,00:04:09.81,""
other,00:04:09.81,00:04:10.02,""
"peoples,",00:04:10.02,00:04:10.74,""
yet,00:04:10.74,00:04:11.07,""
they,00:04:11.10,00:04:11.22,""
find,00:04:11.22,00:04:11.43,""
it,00:04:11.43,00:04:11.55,""
hard,00:04:11.55,00:04:11.88,""
to,00:04:11.88,00:04:12.00,""
trust,00:04:12.00,00:04:12.39,""
them.,00:04:12.39,00:04:12.84,""
A,00:04:12.84,00:04:13.02,""
Bruins,00:04:13.02,00:04:13.53,""
deep,00:04:13.53,00:04:13.89,""
loyalty,00:04:13.89,00:04:14.37,""
makes,00:04:14.40,00:04:14.64,""
them,00:04:14.64,00:04:14.82,""
the,00:04:14.82,00:04:14.94,""
greatest,00:04:14.94,00:04:15.48,""
ally,00:04:15.48,00:04:15.93,""
and,00:04:15.93,00:04:16.14,""
friend,00:04:16.14,00:04:16.59,""
one,00:04:16.59,00:04:16.86,""
can,00:04:16.86,00:04:17.04,""
"possess,",00:04:17.04,00:04:17.70,""
But,00:04:17.70,00:04:18.12,""
earning,00:04:18.12,00:04:18.45,""
their,00:04:18.45,00:04:18.63,""
trust,00:04:18.63,00:04:19.17,""
is,00:04:19.17,00:04:19.41,""
a,00:04:19.41,00:04:19.50,""
decade,00:04:19.50,00:04:19.98,""
long,00:04:19.98,00:04:20.22,""
affair.,00:04:20.25,00:04:21.03,""
As,00:04:21.24,00:04:21.72,""
"aforementioned,",00:04:21.72,00:04:22.59,""
Brevin,00:04:22.59,00:04:23.04,""
have,00:04:23.04,00:04:23.25,""
a,00:04:23.25,00:04:23.34,""
culture,00:04:23.34,00:04:23.73,""
of,00:04:23.73,00:04:23.85,""
great,00:04:23.85,00:04:24.15,""
friendliness,00:04:24.15,00:04:24.81,""
and,00:04:24.81,00:04:24.99,""
hospitality.,00:04:24.99,00:04:25.95,""
Some,00:04:25.95,00:04:26.34,""
of,00:04:26.34,00:04:26.40,""
the,00:04:26.40,00:04:26.49,""
greatest,00:04:26.49,00:04:27.00,""
and,00:04:27.00,00:04:27.24,""
kindest,00:04:27.24,00:04:27.81,""
hosts,00:04:27.81,00:04:28.29,""
one,00:04:28.29,00:04:28.50,""
can,00:04:28.50,00:04:28.65,""
"encounter,",00:04:28.65,00:04:29.34,""
seemingly,00:04:29.34,00:04:30.00,""
always,00:04:30.00,00:04:30.36,""
looking,00:04:30.36,00:04:30.66,""
to,00:04:30.66,00:04:30.75,""
share,00:04:30.75,00:04:31.02,""
a,00:04:31.02,00:04:31.08,""
drink,00:04:31.08,00:04:31.41,""
or,00:04:31.41,00:04:31.56,""
friendly,00:04:31.56,00:04:31.98,""
brawl,00:04:31.98,00:04:32.52,""
with,00:04:32.52,00:04:32.85,""
other,00:04:32.85,00:04:33.03,""
Brevin,00:04:33.03,00:04:33.42,""
and,00:04:33.42,00:04:33.57,""
even,00:04:33.57,00:04:33.78,""
those,00:04:33.78,00:04:33.99,""
of,00:04:33.99,00:04:34.11,""
other,00:04:34.11,00:04:34.41,""
ethnicities.,00:04:34.41,00:04:35.31,""
The,00:04:36.57,00:04:36.84,""
ways,00:04:36.84,00:04:37.08,""
of,00:04:37.08,00:04:37.20,""
old.,00:04:37.20,00:04:37.77,""
Deeply,00:04:37.80,00:04:38.46,""
seated,00:04:38.46,00:04:38.88,""
into,00:04:38.88,00:04:39.12,""
Brevin,00:04:39.12,00:04:39.51,""
culture,00:04:39.51,00:04:39.96,""
are,00:04:39.99,00:04:40.11,""
their,00:04:40.11,00:04:40.32,""
traditional,00:04:40.32,00:04:40.83,""
beliefs,00:04:40.86,00:04:41.52,""
ensuring,00:04:41.55,00:04:42.24,""
the,00:04:42.24,00:04:42.36,""
status,00:04:42.36,00:04:42.72,""
quo,00:04:42.72,00:04:43.11,""
and,00:04:43.11,00:04:43.32,""
continuing,00:04:43.32,00:04:43.86,""
the,00:04:43.86,00:04:43.95,""
work,00:04:43.95,00:04:44.22,""
that's,00:04:44.22,00:04:44.43,""
been,00:04:44.43,00:04:44.58,""
done,00:04:44.58,00:04:44.85,""
by,00:04:44.85,00:04:45.03,""
the,00:04:45.03,00:04:45.12,""
clan's,00:04:45.12,00:04:45.54,""
lineage,00:04:45.54,00:04:46.05,""
is,00:04:46.05,00:04:46.17,""
of,00:04:46.17,00:04:46.32,""
utmost,00:04:46.32,00:04:46.80,""
importance.,00:04:46.80,00:04:47.77,""
It,00:04:47.85,00:04:48.24,""
is,00:04:48.24,00:04:48.36,""
not,00:04:48.36,00:04:48.57,""
unheard,00:04:48.57,00:04:48.93,""
of,00:04:48.93,00:04:49.11,""
for,00:04:49.11,00:04:49.26,""
a,00:04:49.26,00:04:49.32,""
lumberjack,00:04:49.35,00:04:49.86,""
within,00:04:49.86,00:04:50.16,""
a,00:04:50.16,00:04:50.22,""
Brevin,00:04:50.22,00:04:50.61,""
clan,00:04:50.61,00:04:50.97,""
to,00:04:50.97,00:04:51.09,""
have,00:04:51.09,00:04:51.18,""
had,00:04:51.18,00:04:51.36,""
his,00:04:51.36,00:04:51.54,""
job,00:04:51.54,00:04:51.78,""
reserved,00:04:51.78,00:04:52.20,""
for,00:04:52.20,00:04:52.41,""
him,00:04:52.41,00:04:52.74,""
five,00:04:52.74,00:04:53.28,""
generations,00:04:53.28,00:04:54.03,""
in,00:04:54.03,00:04:54.15,""
"advance,",00:04:54.15,00:04:54.87,""
using,00:04:54.87,00:04:55.47,""
the,00:04:55.47,00:04:55.56,""
tools,00:04:55.56,00:04:56.04,""
and,00:04:56.04,00:04:56.22,""
cutting,00:04:56.22,00:04:56.55,""
the,00:04:56.55,00:04:56.67,""
same,00:04:56.67,00:04:57.00,""
lumber,00:04:57.00,00:04:57.36,""
that,00:04:57.36,00:04:57.51,""
his,00:04:57.51,00:04:57.69,""
great,00:04:57.69,00:04:57.96,""
ancestors,00:04:57.96,00:04:58.59,""
have,00:04:58.59,00:04:58.74,""
done,00:04:58.74,00:04:58.95,""
for,00:04:58.95,00:04:59.10,""
decades.,00:04:59.10,00:04:59.97,""
Ones,00:05:00.18,00:05:00.90,""
with,00:05:00.90,00:05:01.14,""
nature.,00:05:01.14,00:05:01.89,""
The,00:05:02.13,00:05:02.52,""
clans,00:05:02.52,00:05:02.94,""
also,00:05:02.94,00:05:03.30,""
endeavor,00:05:03.30,00:05:03.63,""
to,00:05:03.63,00:05:03.75,""
take,00:05:03.75,00:05:03.96,""
as,00:05:03.96,00:05:04.08,""
little,00:05:04.08,00:05:04.35,""
from,00:05:04.35,00:05:04.56,""
the,00:05:04.56,00:05:04.68,""
environment,00:05:04.68,00:05:05.31,""
as,00:05:05.31,00:05:05.46,""
they,00:05:05.46,00:05:05.64,""
need,00:05:05.64,00:05:06.21,""
and,00:05:06.21,00:05:06.51,""
take,00:05:06.51,00:05:06.72,""
only,00:05:06.72,00:05:06.99,""
what,00:05:06.99,00:05:07.17,""
they,00:05:07.17,00:05:07.35,""
need,00:05:07.35,00:05:07.68,""
from,00:05:07.68,00:05:07.92,""
the,00:05:07.92,00:05:08.01,""
world.,00:05:08.01,00:05:08.85,""
A,00:05:09.03,00:05:09.24,""
Brevin,00:05:09.24,00:05:09.69,""
Huntswoman,00:05:09.69,00:05:10.26,""
may,00:05:10.26,00:05:10.41,""
leave,00:05:10.41,00:05:10.68,""
the,00:05:10.68,00:05:10.77,""
bones,00:05:10.77,00:05:11.13,""
of,00:05:11.13,00:05:11.25,""
her,00:05:11.25,00:05:11.43,""
quarry,00:05:11.43,00:05:11.82,""
buried,00:05:11.82,00:05:12.09,""
in,00:05:12.12,00:05:12.24,""
the,00:05:12.24,00:05:12.33,""
woods,00:05:12.33,00:05:12.78,""
as,00:05:12.78,00:05:13.02,""
to,00:05:13.02,00:05:13.14,""
respect,00:05:13.14,00:05:13.62,""
the,00:05:13.62,00:05:13.77,""
spirit,00:05:13.77,00:05:14.10,""
of,00:05:14.13,00:05:14.22,""
the,00:05:14.22,00:05:14.34,""
creature,00:05:14.34,00:05:14.79,""
slain.,00:05:14.79,00:05:15.66,""
Druidism.,00:05:15.93,00:05:17.04,""
As,00:05:17.37,00:05:17.76,""
the,00:05:17.76,00:05:17.88,""
Brevin,00:05:17.88,00:05:18.24,""
people,00:05:18.24,00:05:18.57,""
are,00:05:18.57,00:05:18.69,""
deeply,00:05:18.69,00:05:19.08,""
"naturalistic,",00:05:19.08,00:05:19.80,""
many,00:05:19.80,00:05:20.04,""
of,00:05:20.04,00:05:20.13,""
their,00:05:20.13,00:05:20.31,""
people,00:05:20.31,00:05:20.61,""
are,00:05:20.61,00:05:20.73,""
Druids.,00:05:20.73,00:05:21.30,""
Druidism,00:05:21.33,00:05:22.08,""
is,00:05:22.08,00:05:22.17,""
one,00:05:22.17,00:05:22.32,""
of,00:05:22.32,00:05:22.41,""
the,00:05:22.41,00:05:22.50,""
few,00:05:22.50,00:05:22.86,""
magical,00:05:22.86,00:05:23.40,""
aspects,00:05:23.40,00:05:23.94,""
of,00:05:23.94,00:05:24.03,""
the,00:05:24.03,00:05:24.12,""
world,00:05:24.12,00:05:24.42,""
of,00:05:24.42,00:05:24.51,""
Brevin,00:05:24.51,00:05:24.90,""
advocates,00:05:24.90,00:05:25.47,""
for,00:05:25.47,00:05:25.83,""
as,00:05:25.86,00:05:26.16,""
any,00:05:26.16,00:05:26.34,""
other,00:05:26.34,00:05:26.52,""
magics,00:05:26.52,00:05:26.94,""
that,00:05:26.94,00:05:27.09,""
can,00:05:27.09,00:05:27.27,""
cause,00:05:27.27,00:05:27.66,""
destruction,00:05:27.66,00:05:28.35,""
and,00:05:28.35,00:05:28.56,""
harm,00:05:28.56,00:05:28.86,""
upon.,00:05:28.86,00:05:29.10,""
The,00:05:29.10,00:05:29.19,""
natural,00:05:29.19,00:05:29.64,""
order,00:05:29.64,00:05:29.94,""
of,00:05:29.94,00:05:30.03,""
things,00:05:30.03,00:05:30.45,""
is,00:05:30.48,00:05:30.84,""
thought,00:05:30.84,00:05:31.08,""
to,00:05:31.08,00:05:31.17,""
be,00:05:31.17,00:05:31.35,""
highly,00:05:31.35,00:05:31.68,""
taboo,00:05:31.68,00:05:32.40,""
and,00:05:32.40,00:05:32.73,""
grounds,00:05:32.73,00:05:33.09,""
for,00:05:33.09,00:05:33.27,""
exile,00:05:33.27,00:05:33.75,""
from,00:05:33.75,00:05:33.96,""
a,00:05:33.96,00:05:34.05,""
clan.,00:05:34.05,00:05:34.44,""
If,00:05:34.44,00:05:34.59,""
a,00:05:34.59,00:05:34.68,""
fellow,00:05:34.68,00:05:35.01,""
clansman,00:05:35.01,00:05:35.55,""
is,00:05:35.55,00:05:35.67,""
discovered,00:05:35.67,00:05:36.09,""
to,00:05:36.19,00:05:36.28,""
be,00:05:36.28,00:05:36.40,""
a,00:05:36.40,00:05:36.52,""
magic,00:05:36.52,00:05:36.97,""
"practitioner,",00:05:36.97,00:05:37.90,""
that,00:05:37.93,00:05:38.26,""
is,00:05:38.26,00:05:38.44,""
not,00:05:38.44,00:05:38.95,""
druidism.,00:05:38.95,00:05:39.91,""
The,00:05:41.00,00:05:41.48,""
uprooted,00:05:41.48,00:05:42.50,""
on,00:05:43.04,00:05:43.43,""
highly,00:05:43.43,00:05:43.76,""
rare,00:05:43.76,00:05:44.00,""
"occasions,",00:05:44.03,00:05:44.54,""
often,00:05:44.54,00:05:44.84,""
in,00:05:44.84,00:05:44.96,""
times,00:05:44.96,00:05:45.26,""
of,00:05:45.26,00:05:45.38,""
dire,00:05:45.38,00:05:45.65,""
circumstances,00:05:45.65,00:05:46.34,""
for,00:05:46.34,00:05:46.49,""
the,00:05:46.49,00:05:46.61,""
longevity,00:05:46.61,00:05:47.18,""
of,00:05:47.18,00:05:47.30,""
a,00:05:47.30,00:05:47.36,""
clan.,00:05:47.36,00:05:47.92,""
A,00:05:47.93,00:05:48.17,""
clansman,00:05:48.17,00:05:48.71,""
may,00:05:48.71,00:05:48.89,""
be,00:05:48.89,00:05:49.04,""
elected,00:05:49.04,00:05:49.43,""
as,00:05:49.43,00:05:49.58,""
an,00:05:49.58,00:05:49.76,""
uprooted,00:05:49.76,00:05:50.39,""
by,00:05:50.39,00:05:50.57,""
the,00:05:50.57,00:05:50.69,""
verdant,00:05:50.69,00:05:51.14,""
Council,00:05:51.14,00:05:51.83,""
in,00:05:51.83,00:05:52.13,""
which,00:05:52.13,00:05:52.37,""
they,00:05:52.37,00:05:52.52,""
are,00:05:52.52,00:05:52.61,""
permitted,00:05:52.61,00:05:53.00,""
to,00:05:53.00,00:05:53.12,""
learn,00:05:53.12,00:05:53.42,""
any,00:05:53.42,00:05:53.72,""
and,00:05:53.72,00:05:53.87,""
all,00:05:53.87,00:05:54.17,""
magics,00:05:54.17,00:05:54.65,""
available,00:05:54.65,00:05:55.16,""
to,00:05:55.16,00:05:55.34,""
them,00:05:55.34,00:05:55.49,""
in,00:05:55.49,00:05:55.58,""
order,00:05:55.58,00:05:55.82,""
to,00:05:55.82,00:05:55.94,""
achieve,00:05:55.94,00:05:56.30,""
whatever,00:05:56.30,00:05:56.72,""
goal,00:05:56.72,00:05:57.08,""
the,00:05:57.08,00:05:57.20,""
Council,00:05:57.20,00:05:57.65,""
deems,00:05:57.65,00:05:58.01,""
worth,00:05:58.01,00:05:58.36,""
breaking.,00:05:58.37,00:05:58.82,""
Tradition.,00:05:58.85,00:05:59.75,""
Uprooted,00:06:00.29,00:06:00.83,""
individuals,00:06:00.83,00:06:01.43,""
are,00:06:01.43,00:06:01.55,""
often,00:06:01.58,00:06:01.88,""
ostracized,00:06:01.91,00:06:02.72,""
by,00:06:02.72,00:06:02.93,""
other,00:06:02.93,00:06:03.23,""
brethren,00:06:03.23,00:06:03.95,""
who,00:06:03.95,00:06:04.34,""
believe,00:06:04.34,00:06:04.64,""
that,00:06:04.64,00:06:04.79,""
their,00:06:04.79,00:06:05.00,""
presence,00:06:05.00,00:06:05.51,""
brings,00:06:05.51,00:06:05.93,""
bad,00:06:05.93,00:06:06.26,""
"luck,",00:06:06.26,00:06:06.88,""
even,00:06:06.89,00:06:07.34,""
if,00:06:07.34,00:06:07.49,""
they,00:06:07.49,00:06:07.67,""
are,00:06:07.67,00:06:07.94,""
on,00:06:07.94,00:06:08.06,""
a,00:06:08.06,00:06:08.12,""
mission,00:06:08.12,00:06:08.51,""
for,00:06:08.51,00:06:08.63,""
the,00:06:08.63,00:06:08.75,""
verdant,00:06:08.75,00:06:09.17,""
Council.,00:06:09.17,00:06:09.98,""
The,00:06:10.22,00:06:10.61,""
Brethren,00:06:10.61,00:06:10.97,""
religion,00:06:10.97,00:06:11.42,""
is,00:06:11.42,00:06:11.57,""
deeply,00:06:11.57,00:06:11.93,""
tied,00:06:11.93,00:06:12.29,""
to,00:06:12.29,00:06:12.41,""
the,00:06:12.41,00:06:12.53,""
natural,00:06:12.53,00:06:13.01,""
"world,",00:06:13.01,00:06:13.61,""
and,00:06:13.61,00:06:13.94,""
many,00:06:13.94,00:06:14.15,""
of,00:06:14.15,00:06:14.27,""
its,00:06:14.27,00:06:14.45,""
rituals,00:06:14.45,00:06:15.02,""
and,00:06:15.02,00:06:15.14,""
beliefs,00:06:15.14,00:06:15.56,""
revolve,00:06:15.56,00:06:15.95,""
around,00:06:15.95,00:06:16.22,""
the,00:06:16.22,00:06:16.31,""
changing,00:06:16.31,00:06:16.82,""
of,00:06:16.82,00:06:16.94,""
the,00:06:16.94,00:06:17.03,""
seasons,00:06:17.03,00:06:17.60,""
and,00:06:17.60,00:06:17.78,""
the,00:06:17.78,00:06:17.90,""
cycles,00:06:17.90,00:06:18.32,""
of,00:06:18.32,00:06:18.47,""
birth,00:06:18.47,00:06:19.04,""
"growth,",00:06:19.04,00:06:19.76,""
death,00:06:19.76,00:06:20.33,""
and,00:06:20.33,00:06:20.54,""
